# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
S000000843	unplaced-scaffold	na	na	JAEOAB010000869.1	=	NW_024873571.1	Primary Assembly	17293	na
S000000844	unplaced-scaffold	na	na	JAEOAB010000870.1	=	NW_024873572.1	Primary Assembly	15942	na
S000000845	unplaced-scaffold	na	na	JAEOAB010000871.1	=	NW_024873573.1	Primary Assembly	15452	na
S000000846	unplaced-scaffold	na	na	JAEOAB010000872.1	=	NW_024873574.1	Primary Assembly	2019	na
S000000847	unplaced-scaffold	na	na	JAEOAB010000873.1	=	NW_024873575.1	Primary Assembly	12858	na
S000000848	unplaced-scaffold	na	na	JAEOAB010000874.1	=	NW_024873576.1	Primary Assembly	18568	na
S000000849	unplaced-scaffold	na	na	JAEOAB010000875.1	=	NW_024873577.1	Primary Assembly	6697	na
S000000850	unplaced-scaffold	na	na	JAEOAB010000876.1	=	NW_024873578.1	Primary Assembly	27030	na
S000000852	unplaced-scaffold	na	na	JAEOAB010000877.1	=	NW_024873579.1	Primary Assembly	4745	na
S000000853	unplaced-scaffold	na	na	JAEOAB010000878.1	=	NW_024873580.1	Primary Assembly	7393	na
S000000854	unplaced-scaffold	na	na	JAEOAB010000879.1	=	NW_024873581.1	Primary Assembly	8581	na
S000000855	unplaced-scaffold	na	na	JAEOAB010000880.1	=	NW_024873582.1	Primary Assembly	385	na
S000000857	unplaced-scaffold	na	na	JAEOAB010000881.1	=	NW_024873583.1	Primary Assembly	5398	na
S000000858	unplaced-scaffold	na	na	JAEOAB010000882.1	=	NW_024873584.1	Primary Assembly	3904	na
S000000859	unplaced-scaffold	na	na	JAEOAB010000883.1	=	NW_024873585.1	Primary Assembly	1344	na
S000000860	unplaced-scaffold	na	na	JAEOAB010000884.1	=	NW_024873586.1	Primary Assembly	3367	na
S000000861	unplaced-scaffold	na	na	JAEOAB010000885.1	=	NW_024873587.1	Primary Assembly	1803	na
S000000862	unplaced-scaffold	na	na	JAEOAB010000886.1	=	NW_024873588.1	Primary Assembly	1511	na
S000000863	unplaced-scaffold	na	na	JAEOAB010000887.1	=	NW_024873589.1	Primary Assembly	6598	na
S000000864	unplaced-scaffold	na	na	JAEOAB010000888.1	=	NW_024873590.1	Primary Assembly	9104	na
S000000865	unplaced-scaffold	na	na	JAEOAB010000889.1	=	NW_024873591.1	Primary Assembly	7448	na
S000000866	unplaced-scaffold	na	na	JAEOAB010000890.1	=	NW_024873592.1	Primary Assembly	1200	na
S000000867	unplaced-scaffold	na	na	JAEOAB010000891.1	=	NW_024873593.1	Primary Assembly	169462	na
S000000868	unplaced-scaffold	na	na	JAEOAB010000892.1	=	NW_024873594.1	Primary Assembly	2110	na
S000000869	unplaced-scaffold	na	na	JAEOAB010000893.1	=	NW_024873595.1	Primary Assembly	1484	na
S000000870	unplaced-scaffold	na	na	JAEOAB010000894.1	=	NW_024873596.1	Primary Assembly	1511	na
S000000872	unplaced-scaffold	na	na	JAEOAB010000896.1	=	NW_024873597.1	Primary Assembly	3114	na
S000000873	unplaced-scaffold	na	na	JAEOAB010000897.1	=	NW_024873598.1	Primary Assembly	1519	na
S000000874	unplaced-scaffold	na	na	JAEOAB010000898.1	=	NW_024873599.1	Primary Assembly	1851	na
S000000875	unplaced-scaffold	na	na	JAEOAB010000899.1	=	NW_024873600.1	Primary Assembly	1649	na
S000000876	unplaced-scaffold	na	na	JAEOAB010000900.1	=	NW_024873601.1	Primary Assembly	8872	na
S000000877	unplaced-scaffold	na	na	JAEOAB010000901.1	=	NW_024873602.1	Primary Assembly	1143	na
S000000878	unplaced-scaffold	na	na	JAEOAB010000902.1	=	NW_024873603.1	Primary Assembly	1711	na
S000000879	unplaced-scaffold	na	na	JAEOAB010000903.1	=	NW_024873604.1	Primary Assembly	3238	na
S000000880	unplaced-scaffold	na	na	JAEOAB010000904.1	=	NW_024873605.1	Primary Assembly	5702	na
S000000881	unplaced-scaffold	na	na	JAEOAB010000905.1	=	NW_024873606.1	Primary Assembly	6297	na
S000000882	unplaced-scaffold	na	na	JAEOAB010000906.1	=	NW_024873607.1	Primary Assembly	8078	na
S000000883	unplaced-scaffold	na	na	JAEOAB010000907.1	=	NW_024873608.1	Primary Assembly	10791	na
S000000884	unplaced-scaffold	na	na	JAEOAB010000908.1	=	NW_024873609.1	Primary Assembly	10316	na
S000000885	unplaced-scaffold	na	na	JAEOAB010000909.1	=	NW_024873610.1	Primary Assembly	11168	na
S000000886	unplaced-scaffold	na	na	JAEOAB010000910.1	=	NW_024873611.1	Primary Assembly	4763	na
S000000887	unplaced-scaffold	na	na	JAEOAB010000911.1	=	NW_024873612.1	Primary Assembly	1935	na
S000000888	unplaced-scaffold	na	na	JAEOAB010000912.1	=	NW_024873613.1	Primary Assembly	85454	na
S000000889	unplaced-scaffold	na	na	JAEOAB010000913.1	=	NW_024873614.1	Primary Assembly	4952	na
S000000891	unplaced-scaffold	na	na	JAEOAB010000915.1	=	NW_024873615.1	Primary Assembly	2012	na
S000000892	unplaced-scaffold	na	na	JAEOAB010000916.1	=	NW_024873616.1	Primary Assembly	2158	na
S000000893	unplaced-scaffold	na	na	JAEOAB010000917.1	=	NW_024873617.1	Primary Assembly	35127	na
S000000894	unplaced-scaffold	na	na	JAEOAB010000918.1	=	NW_024873618.1	Primary Assembly	2042	na
S000000895	unplaced-scaffold	na	na	JAEOAB010000919.1	=	NW_024873619.1	Primary Assembly	40259	na
S000000896	unplaced-scaffold	na	na	JAEOAB010000920.1	=	NW_024873620.1	Primary Assembly	30658	na
S000000897	unplaced-scaffold	na	na	JAEOAB010000921.1	=	NW_024873621.1	Primary Assembly	2324	na
S000000898	unplaced-scaffold	na	na	JAEOAB010000922.1	=	NW_024873622.1	Primary Assembly	30704	na
S000000899	unplaced-scaffold	na	na	JAEOAB010000923.1	=	NW_024873623.1	Primary Assembly	1985	na
S000000900	unplaced-scaffold	na	na	JAEOAB010000924.1	=	NW_024873624.1	Primary Assembly	26655	na
S000000901	unplaced-scaffold	na	na	JAEOAB010000925.1	=	NW_024873625.1	Primary Assembly	2480	na
S000000902	unplaced-scaffold	na	na	JAEOAB010000926.1	=	NW_024873626.1	Primary Assembly	29219	na
S000000903	unplaced-scaffold	na	na	JAEOAB010000927.1	=	NW_024873627.1	Primary Assembly	28821	na
S000000904	unplaced-scaffold	na	na	JAEOAB010000928.1	=	NW_024873628.1	Primary Assembly	3655	na
S000000905	unplaced-scaffold	na	na	JAEOAB010000929.1	=	NW_024873629.1	Primary Assembly	23271	na
S000000906	unplaced-scaffold	na	na	JAEOAB010000930.1	=	NW_024873630.1	Primary Assembly	23370	na
S000000907	unplaced-scaffold	na	na	JAEOAB010000931.1	=	NW_024873631.1	Primary Assembly	23203	na
S000000908	unplaced-scaffold	na	na	JAEOAB010000932.1	=	NW_024873632.1	Primary Assembly	14489	na
S000000909	unplaced-scaffold	na	na	JAEOAB010000933.1	=	NW_024873633.1	Primary Assembly	22772	na
S000000910	unplaced-scaffold	na	na	JAEOAB010000934.1	=	NW_024873634.1	Primary Assembly	22629	na
S000000912	unplaced-scaffold	na	na	JAEOAB010000935.1	=	NW_024873635.1	Primary Assembly	21822	na
S000000913	unplaced-scaffold	na	na	JAEOAB010000936.1	=	NW_024873636.1	Primary Assembly	22291	na
S000000914	unplaced-scaffold	na	na	JAEOAB010000937.1	=	NW_024873637.1	Primary Assembly	1812	na
S000000915	unplaced-scaffold	na	na	JAEOAB010000938.1	=	NW_024873638.1	Primary Assembly	8673	na
S000000916	unplaced-scaffold	na	na	JAEOAB010000939.1	=	NW_024873639.1	Primary Assembly	19154	na
S000000917	unplaced-scaffold	na	na	JAEOAB010000940.1	=	NW_024873640.1	Primary Assembly	21600	na
S000000918	unplaced-scaffold	na	na	JAEOAB010000941.1	=	NW_024873641.1	Primary Assembly	20632	na
S000000919	unplaced-scaffold	na	na	JAEOAB010000942.1	=	NW_024873642.1	Primary Assembly	1835	na
S000000920	unplaced-scaffold	na	na	JAEOAB010000943.1	=	NW_024873643.1	Primary Assembly	25507	na
S000000921	unplaced-scaffold	na	na	JAEOAB010000944.1	=	NW_024873644.1	Primary Assembly	18505	na
S000000922	unplaced-scaffold	na	na	JAEOAB010000945.1	=	NW_024873645.1	Primary Assembly	18069	na
S000000923	unplaced-scaffold	na	na	JAEOAB010000946.1	=	NW_024873646.1	Primary Assembly	23049	na
S000000924	unplaced-scaffold	na	na	JAEOAB010000947.1	=	NW_024873647.1	Primary Assembly	17444	na
S000000925	unplaced-scaffold	na	na	JAEOAB010000948.1	=	NW_024873648.1	Primary Assembly	17784	na
S000000926	unplaced-scaffold	na	na	JAEOAB010000949.1	=	NW_024873649.1	Primary Assembly	16361	na
S000000927	unplaced-scaffold	na	na	JAEOAB010000950.1	=	NW_024873650.1	Primary Assembly	15567	na
S000000928	unplaced-scaffold	na	na	JAEOAB010000951.1	=	NW_024873651.1	Primary Assembly	16163	na
S000000929	unplaced-scaffold	na	na	JAEOAB010000952.1	=	NW_024873652.1	Primary Assembly	10712	na
S000000930	unplaced-scaffold	na	na	JAEOAB010000953.1	=	NW_024873653.1	Primary Assembly	7647	na
S000000931	unplaced-scaffold	na	na	JAEOAB010000954.1	=	NW_024873654.1	Primary Assembly	15983	na
S000000932	unplaced-scaffold	na	na	JAEOAB010000955.1	=	NW_024873655.1	Primary Assembly	14626	na
S000000933	unplaced-scaffold	na	na	JAEOAB010000956.1	=	NW_024873656.1	Primary Assembly	14634	na
S000000934	unplaced-scaffold	na	na	JAEOAB010000957.1	=	NW_024873657.1	Primary Assembly	14971	na
S000000935	unplaced-scaffold	na	na	JAEOAB010000958.1	=	NW_024873658.1	Primary Assembly	13181	na
S000000936	unplaced-scaffold	na	na	JAEOAB010000959.1	=	NW_024873659.1	Primary Assembly	12521	na
S000000937	unplaced-scaffold	na	na	JAEOAB010000960.1	=	NW_024873660.1	Primary Assembly	15791	na
S000000938	unplaced-scaffold	na	na	JAEOAB010000961.1	=	NW_024873661.1	Primary Assembly	8804	na
S000000939	unplaced-scaffold	na	na	JAEOAB010000962.1	=	NW_024873662.1	Primary Assembly	12647	na
S000000940	unplaced-scaffold	na	na	JAEOAB010000963.1	=	NW_024873663.1	Primary Assembly	12745	na
S000000941	unplaced-scaffold	na	na	JAEOAB010000964.1	=	NW_024873664.1	Primary Assembly	11183	na
S000000942	unplaced-scaffold	na	na	JAEOAB010000965.1	=	NW_024873665.1	Primary Assembly	11782	na
S000000943	unplaced-scaffold	na	na	JAEOAB010000966.1	=	NW_024873666.1	Primary Assembly	11395	na
S000000944	unplaced-scaffold	na	na	JAEOAB010000967.1	=	NW_024873667.1	Primary Assembly	11038	na
S000000945	unplaced-scaffold	na	na	JAEOAB010000968.1	=	NW_024873668.1	Primary Assembly	6580	na
S000000946	unplaced-scaffold	na	na	JAEOAB010000969.1	=	NW_024873669.1	Primary Assembly	14190	na
S000000947	unplaced-scaffold	na	na	JAEOAB010000970.1	=	NW_024873670.1	Primary Assembly	2147	na
S000000948	unplaced-scaffold	na	na	JAEOAB010000971.1	=	NW_024873671.1	Primary Assembly	6765	na
S000000949	unplaced-scaffold	na	na	JAEOAB010000972.1	=	NW_024873672.1	Primary Assembly	9302	na
S000000950	unplaced-scaffold	na	na	JAEOAB010000973.1	=	NW_024873673.1	Primary Assembly	9719	na
S000000951	unplaced-scaffold	na	na	JAEOAB010000974.1	=	NW_024873674.1	Primary Assembly	8549	na
S000000952	unplaced-scaffold	na	na	JAEOAB010000975.1	=	NW_024873675.1	Primary Assembly	8271	na
S000000953	unplaced-scaffold	na	na	JAEOAB010000976.1	=	NW_024873676.1	Primary Assembly	7854	na
S000000954	unplaced-scaffold	na	na	JAEOAB010000977.1	=	NW_024873677.1	Primary Assembly	1728	na
S000000955	unplaced-scaffold	na	na	JAEOAB010000978.1	=	NW_024873678.1	Primary Assembly	6704	na
S000000956	unplaced-scaffold	na	na	JAEOAB010000979.1	=	NW_024873679.1	Primary Assembly	6524	na
S000000957	unplaced-scaffold	na	na	JAEOAB010000980.1	=	NW_024873680.1	Primary Assembly	6016	na
S000000958	unplaced-scaffold	na	na	JAEOAB010000981.1	=	NW_024873681.1	Primary Assembly	5217	na
S000000959	unplaced-scaffold	na	na	JAEOAB010000982.1	=	NW_024873682.1	Primary Assembly	4283	na
S000000960	unplaced-scaffold	na	na	JAEOAB010000983.1	=	NW_024873683.1	Primary Assembly	26348	na
S000000961	unplaced-scaffold	na	na	JAEOAB010000984.1	=	NW_024873684.1	Primary Assembly	6274	na
S000000962	unplaced-scaffold	na	na	JAEOAB010000985.1	=	NW_024873685.1	Primary Assembly	2177	na
S000000963	unplaced-scaffold	na	na	JAEOAB010000986.1	=	NW_024873686.1	Primary Assembly	5952	na
S000000964	unplaced-scaffold	na	na	JAEOAB010000987.1	=	NW_024873687.1	Primary Assembly	11798	na
S000000965	unplaced-scaffold	na	na	JAEOAB010000988.1	=	NW_024873688.1	Primary Assembly	1964	na
S000000966	unplaced-scaffold	na	na	JAEOAB010000989.1	=	NW_024873689.1	Primary Assembly	1346	na
S000000967	unplaced-scaffold	na	na	JAEOAB010000990.1	=	NW_024873690.1	Primary Assembly	1940	na
S000000968	unplaced-scaffold	na	na	JAEOAB010000991.1	=	NW_024873691.1	Primary Assembly	1561	na
S000000969	unplaced-scaffold	na	na	JAEOAB010000992.1	=	NW_024873692.1	Primary Assembly	6033	na
S000000970	unplaced-scaffold	na	na	JAEOAB010000993.1	=	NW_024873693.1	Primary Assembly	1930	na
S000000971	unplaced-scaffold	na	na	JAEOAB010000994.1	=	NW_024873694.1	Primary Assembly	79801	na
S000000972	unplaced-scaffold	na	na	JAEOAB010000995.1	=	NW_024873695.1	Primary Assembly	901902	na
S000000973	unplaced-scaffold	na	na	JAEOAB010000996.1	=	NW_024873696.1	Primary Assembly	2234	na
S000000974	unplaced-scaffold	na	na	JAEOAB010000997.1	=	NW_024873697.1	Primary Assembly	2090	na
S000000975	unplaced-scaffold	na	na	JAEOAB010000998.1	=	NW_024873698.1	Primary Assembly	2221	na
S000000976	unplaced-scaffold	na	na	JAEOAB010000999.1	=	NW_024873699.1	Primary Assembly	1994	na
S000000977	unplaced-scaffold	na	na	JAEOAB010001000.1	=	NW_024873700.1	Primary Assembly	1687	na
S000000978	unplaced-scaffold	na	na	JAEOAB010001001.1	=	NW_024873701.1	Primary Assembly	4766	na
S000000979	unplaced-scaffold	na	na	JAEOAB010001002.1	=	NW_024873702.1	Primary Assembly	337	na
S000000980	unplaced-scaffold	na	na	JAEOAB010001003.1	=	NW_024873703.1	Primary Assembly	2923	na
S000000981	unplaced-scaffold	na	na	JAEOAB010001004.1	=	NW_024873704.1	Primary Assembly	4933	na
S000000982	unplaced-scaffold	na	na	JAEOAB010001005.1	=	NW_024873705.1	Primary Assembly	2193	na
S000000983	unplaced-scaffold	na	na	JAEOAB010001006.1	=	NW_024873706.1	Primary Assembly	3752	na
S000000984	unplaced-scaffold	na	na	JAEOAB010001007.1	=	NW_024873707.1	Primary Assembly	5069	na
S000000985	unplaced-scaffold	na	na	JAEOAB010001008.1	=	NW_024873708.1	Primary Assembly	5787	na
S000000986	unplaced-scaffold	na	na	JAEOAB010001009.1	=	NW_024873709.1	Primary Assembly	1735	na
S000000987	unplaced-scaffold	na	na	JAEOAB010001010.1	=	NW_024873710.1	Primary Assembly	16749	na
S000000988	unplaced-scaffold	na	na	JAEOAB010001011.1	=	NW_024873711.1	Primary Assembly	16984	na
S000000989	unplaced-scaffold	na	na	JAEOAB010001012.1	=	NW_024873712.1	Primary Assembly	14691	na
S000000990	unplaced-scaffold	na	na	JAEOAB010001013.1	=	NW_024873713.1	Primary Assembly	105334	na
S000000991	unplaced-scaffold	na	na	JAEOAB010001014.1	=	NW_024873714.1	Primary Assembly	13918	na
S000000992	unplaced-scaffold	na	na	JAEOAB010001015.1	=	NW_024873715.1	Primary Assembly	48164	na
S000000993	unplaced-scaffold	na	na	JAEOAB010001016.1	=	NW_024873716.1	Primary Assembly	17530	na
S000000995	unplaced-scaffold	na	na	JAEOAB010001018.1	=	NW_024873717.1	Primary Assembly	72727	na
S000000996	unplaced-scaffold	na	na	JAEOAB010001019.1	=	NW_024873718.1	Primary Assembly	104614	na
S000000997	unplaced-scaffold	na	na	JAEOAB010001020.1	=	NW_024873719.1	Primary Assembly	24876	na
S000000998	unplaced-scaffold	na	na	JAEOAB010001021.1	=	NW_024873720.1	Primary Assembly	21117	na
S000000999	unplaced-scaffold	na	na	JAEOAB010001022.1	=	NW_024873721.1	Primary Assembly	12986	na
S000001000	unplaced-scaffold	na	na	JAEOAB010001023.1	=	NW_024873722.1	Primary Assembly	784	na
S000001001	unplaced-scaffold	na	na	JAEOAB010001024.1	=	NW_024873723.1	Primary Assembly	26208	na
S000001002	unplaced-scaffold	na	na	JAEOAB010001025.1	=	NW_024873724.1	Primary Assembly	8914	na
S000001003	unplaced-scaffold	na	na	JAEOAB010001026.1	=	NW_024873725.1	Primary Assembly	581	na
S000001004	unplaced-scaffold	na	na	JAEOAB010001027.1	=	NW_024873726.1	Primary Assembly	252	na
S000001005	unplaced-scaffold	na	na	JAEOAB010001028.1	=	NW_024873727.1	Primary Assembly	8029	na
S000001006	unplaced-scaffold	na	na	JAEOAB010001029.1	=	NW_024873728.1	Primary Assembly	19203	na
S000001007	unplaced-scaffold	na	na	JAEOAB010001030.1	=	NW_024873729.1	Primary Assembly	17211	na
S000001008	unplaced-scaffold	na	na	JAEOAB010001031.1	=	NW_024873730.1	Primary Assembly	16142	na
S000001009	unplaced-scaffold	na	na	JAEOAB010001032.1	=	NW_024873731.1	Primary Assembly	13498	na
S000001010	unplaced-scaffold	na	na	JAEOAB010001033.1	=	NW_024873732.1	Primary Assembly	14327	na
S000001011	unplaced-scaffold	na	na	JAEOAB010001034.1	=	NW_024873733.1	Primary Assembly	16044	na
S000001012	unplaced-scaffold	na	na	JAEOAB010001035.1	=	NW_024873734.1	Primary Assembly	16780	na
S000001013	unplaced-scaffold	na	na	JAEOAB010001036.1	=	NW_024873735.1	Primary Assembly	17078	na
S000001014	unplaced-scaffold	na	na	JAEOAB010001037.1	=	NW_024873736.1	Primary Assembly	4862	na
S000001015	unplaced-scaffold	na	na	JAEOAB010001038.1	=	NW_024873737.1	Primary Assembly	891	na
S000001016	unplaced-scaffold	na	na	JAEOAB010001039.1	=	NW_024873738.1	Primary Assembly	7452	na
S000001017	unplaced-scaffold	na	na	JAEOAB010001040.1	=	NW_024873739.1	Primary Assembly	16746	na
S000001019	unplaced-scaffold	na	na	JAEOAB010001041.1	=	NW_024873740.1	Primary Assembly	1763	na
S000001020	unplaced-scaffold	na	na	JAEOAB010001042.1	=	NW_024873741.1	Primary Assembly	3864	na
S000001021	unplaced-scaffold	na	na	JAEOAB010001043.1	=	NW_024873742.1	Primary Assembly	1946	na
S000001022	unplaced-scaffold	na	na	JAEOAB010001044.1	=	NW_024873743.1	Primary Assembly	14199	na
S000001023	unplaced-scaffold	na	na	JAEOAB010001045.1	=	NW_024873744.1	Primary Assembly	1913	na
S000001024	unplaced-scaffold	na	na	JAEOAB010001046.1	=	NW_024873745.1	Primary Assembly	1905	na
S000001025	unplaced-scaffold	na	na	JAEOAB010001047.1	=	NW_024873746.1	Primary Assembly	12746	na
S000001026	unplaced-scaffold	na	na	JAEOAB010001048.1	=	NW_024873747.1	Primary Assembly	2780	na
S000001027	unplaced-scaffold	na	na	JAEOAB010001049.1	=	NW_024873748.1	Primary Assembly	3878	na
S000001028	unplaced-scaffold	na	na	JAEOAB010001050.1	=	NW_024873749.1	Primary Assembly	1921	na
S000001029	unplaced-scaffold	na	na	JAEOAB010001051.1	=	NW_024873750.1	Primary Assembly	9325	na
S000001030	unplaced-scaffold	na	na	JAEOAB010001052.1	=	NW_024873751.1	Primary Assembly	1992	na
S000001031	unplaced-scaffold	na	na	JAEOAB010001053.1	=	NW_024873752.1	Primary Assembly	3679	na
S000001032	unplaced-scaffold	na	na	JAEOAB010001054.1	=	NW_024873753.1	Primary Assembly	1938	na
S000001033	unplaced-scaffold	na	na	JAEOAB010001055.1	=	NW_024873754.1	Primary Assembly	4923	na
S000001034	unplaced-scaffold	na	na	JAEOAB010001056.1	=	NW_024873755.1	Primary Assembly	1336	na
S000001035	unplaced-scaffold	na	na	JAEOAB010001057.1	=	NW_024873756.1	Primary Assembly	1589	na
S000001036	unplaced-scaffold	na	na	JAEOAB010001058.1	=	NW_024873757.1	Primary Assembly	2905	na
S000001037	unplaced-scaffold	na	na	JAEOAB010001059.1	=	NW_024873758.1	Primary Assembly	4901	na
S000001038	unplaced-scaffold	na	na	JAEOAB010001060.1	=	NW_024873759.1	Primary Assembly	4219	na
S000001039	unplaced-scaffold	na	na	JAEOAB010001061.1	=	NW_024873760.1	Primary Assembly	2020	na
S000001040	unplaced-scaffold	na	na	JAEOAB010001062.1	=	NW_024873761.1	Primary Assembly	1768	na
S000001041	unplaced-scaffold	na	na	JAEOAB010001063.1	=	NW_024873762.1	Primary Assembly	7025	na
S000001042	unplaced-scaffold	na	na	JAEOAB010001064.1	=	NW_024873763.1	Primary Assembly	8222	na
S000001043	unplaced-scaffold	na	na	JAEOAB010001065.1	=	NW_024873764.1	Primary Assembly	5100	na
S000001044	unplaced-scaffold	na	na	JAEOAB010001066.1	=	NW_024873765.1	Primary Assembly	1638	na
S000001045	unplaced-scaffold	na	na	JAEOAB010001067.1	=	NW_024873766.1	Primary Assembly	2469	na
S000001046	unplaced-scaffold	na	na	JAEOAB010001068.1	=	NW_024873767.1	Primary Assembly	9980	na
S000001047	unplaced-scaffold	na	na	JAEOAB010001069.1	=	NW_024873768.1	Primary Assembly	5192	na
S000001048	unplaced-scaffold	na	na	JAEOAB010001070.1	=	NW_024873769.1	Primary Assembly	3020	na
S000001049	unplaced-scaffold	na	na	JAEOAB010001071.1	=	NW_024873770.1	Primary Assembly	4744	na
S000001050	unplaced-scaffold	na	na	JAEOAB010001072.1	=	NW_024873771.1	Primary Assembly	7255	na
S000001051	unplaced-scaffold	na	na	JAEOAB010001073.1	=	NW_024873772.1	Primary Assembly	1933	na
S000001052	unplaced-scaffold	na	na	JAEOAB010001074.1	=	NW_024873773.1	Primary Assembly	5832	na
S000001053	unplaced-scaffold	na	na	JAEOAB010001075.1	=	NW_024873774.1	Primary Assembly	1015	na
S000001054	unplaced-scaffold	na	na	JAEOAB010001076.1	=	NW_024873775.1	Primary Assembly	33999	na
S000001055	unplaced-scaffold	na	na	JAEOAB010001077.1	=	NW_024873776.1	Primary Assembly	3996	na
S000001056	unplaced-scaffold	na	na	JAEOAB010001078.1	=	NW_024873777.1	Primary Assembly	2873	na
S000001057	unplaced-scaffold	na	na	JAEOAB010001079.1	=	NW_024873778.1	Primary Assembly	31509	na
S000001058	unplaced-scaffold	na	na	JAEOAB010001080.1	=	NW_024873779.1	Primary Assembly	28165	na
S000001059	unplaced-scaffold	na	na	JAEOAB010001081.1	=	NW_024873780.1	Primary Assembly	28665	na
S000001060	unplaced-scaffold	na	na	JAEOAB010001082.1	=	NW_024873781.1	Primary Assembly	27658	na
S000001061	unplaced-scaffold	na	na	JAEOAB010001083.1	=	NW_024873782.1	Primary Assembly	26124	na
S000001062	unplaced-scaffold	na	na	JAEOAB010001084.1	=	NW_024873783.1	Primary Assembly	6345	na
S000001063	unplaced-scaffold	na	na	JAEOAB010001085.1	=	NW_024873784.1	Primary Assembly	25763	na
S000001064	unplaced-scaffold	na	na	JAEOAB010001086.1	=	NW_024873785.1	Primary Assembly	28016	na
S000001065	unplaced-scaffold	na	na	JAEOAB010001087.1	=	NW_024873786.1	Primary Assembly	24336	na
S000001066	unplaced-scaffold	na	na	JAEOAB010001088.1	=	NW_024873787.1	Primary Assembly	24450	na
S000001067	unplaced-scaffold	na	na	JAEOAB010001089.1	=	NW_024873788.1	Primary Assembly	17727	na
S000001068	unplaced-scaffold	na	na	JAEOAB010001090.1	=	NW_024873789.1	Primary Assembly	13765	na
S000001069	unplaced-scaffold	na	na	JAEOAB010001091.1	=	NW_024873790.1	Primary Assembly	2350	na
S000001070	unplaced-scaffold	na	na	JAEOAB010001092.1	=	NW_024873791.1	Primary Assembly	22203	na
S000001071	unplaced-scaffold	na	na	JAEOAB010001093.1	=	NW_024873792.1	Primary Assembly	21615	na
S000001072	unplaced-scaffold	na	na	JAEOAB010001094.1	=	NW_024873793.1	Primary Assembly	22222	na
S000001073	unplaced-scaffold	na	na	JAEOAB010001095.1	=	NW_024873794.1	Primary Assembly	19627	na
